"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","66","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersYoungerThanTest","filterUsersYoungerThanTest()","Scenario #2: Filter users by younger than parameter"
"passed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","25","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersOlderThanTest","filterUsersOlderThanTest()","Scenario #1: Filter users by older than parameter"
"passed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","124","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithoutSexTest","updateUserWithoutSexTest()","Scenario 3: Update user without sex"
"failed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","22","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithInvalidZipCodeTest","uploadUserWithInvalidZipCodeTest()","Scenario 2: Update user with invalid zip code"
"passed","Tue Feb 13 23:02:12 GMT 2024","Tue Feb 13 23:02:12 GMT 2024","35","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPatchMethodTest","updateUserWithPatchMethodTest()","Scenario 1: Update user using patch method"
"passed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","17","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithOnlyRequiredFieldsTest","createUserWithOnlyRequiredFieldsTest()","Scenario #2: Create user with only required fields"
"failed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","179","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithoutNameTest","uploadUserWithoutNameTest()","Scenario 3: Update user without user name"
"passed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","13","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithUnavailableZipCodeTest","createUserWithUnavailableZipCodeTest()","Scenario #3: Create user with unavailable zip code"
"passed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","16","","Task20.ZipCodesTest","","Task20.ZipCodesTest","addSeveralZipCodesTest","addSeveralZipCodesTest()","Scenario #2: Add several valid Zip Codes"
"passed","Tue Feb 13 23:02:11 GMT 2024","Tue Feb 13 23:02:11 GMT 2024","19","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithUnavailableZipCodeTest","updateUserWithUnavailableZipCodeTest()","Scenario 2: Update user with unavailable zip code"
