"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","73","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithoutNameTest","deleteUserWithoutNameTest()","Scenario 3: Delete user without user name"
"passed","Wed Jul 24 17:01:47 GMT 2024","Wed Jul 24 17:01:47 GMT 2024","21","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithUnavailableZipCodeTest","updateUserWithUnavailableZipCodeTest()","Scenario 2: Update user with unavailable zip code"
"passed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","24","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersYoungerThanTest","filterUsersYoungerThanTest()","Scenario #2: Filter users by younger than parameter"
"passed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:47 GMT 2024","16","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithOnlyRequiredFieldsTest","deleteUserWithOnlyRequiredFieldsTest()","Scenario 2: Delete user with only required fields"
"failed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","10","","Task20.ZipCodesTest","","Task20.ZipCodesTest","getAllAvailableZipCodeTest","getAllAvailableZipCodeTest()","Scenario #1: Get the list of all available Zip Codes"
"failed","Wed Jul 24 17:01:47 GMT 2024","Wed Jul 24 17:01:47 GMT 2024","14","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithoutAgeTest","updateUserWithoutAgeTest()","Scenario 3: Update user without age"
"passed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","17","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithOnlyRequiredFieldsTest","createUserWithOnlyRequiredFieldsTest()","Scenario #2: Create user with only required fields"
"passed","Wed Jul 24 17:01:45 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","1057","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithUnavailableZipCodeTest","createUserWithUnavailableZipCodeTest()","Scenario #3: Create user with unavailable zip code"
"passed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","24","","Task20.ZipCodesTest","","Task20.ZipCodesTest","addSeveralZipCodesTest","addSeveralZipCodesTest()","Scenario #2: Add several valid Zip Codes"
"passed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","26","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersByMaleSexTest","filterUsersByMaleSexTest()","Scenario 3: Filter users by sex (Male) parameter"
"passed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","38","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithAllFieldsTest","deleteUserWithAllFieldsTest()","Scenario 1: Delete user with all fields"
"failed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","15","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithInvalidZipCodeTest","uploadUserWithInvalidZipCodeTest()","Scenario 2: Update user with invalid zip code"
"passed","Wed Jul 24 17:01:47 GMT 2024","Wed Jul 24 17:01:47 GMT 2024","13","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithoutSexTest","deleteUserWithoutSexTest()","Scenario 3: Delete user without sex"
"passed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","18","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserTest","uploadUserTest()","Scenario 1: Update user with all fields"
"passed","Wed Jul 24 17:01:47 GMT 2024","Wed Jul 24 17:01:47 GMT 2024","22","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPutMethodTest","updateUserWithPutMethodTest()","Scenario 1: Update user using put method"
"passed","Wed Jul 24 17:01:47 GMT 2024","Wed Jul 24 17:01:47 GMT 2024","15","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithoutNameTest","updateUserWithoutNameTest()","Scenario 3: Update user without name"
"passed","Wed Jul 24 17:01:47 GMT 2024","Wed Jul 24 17:01:47 GMT 2024","21","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPatchMethodTest","updateUserWithPatchMethodTest()","Scenario 1: Update user using patch method"
"failed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","14","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithoutSexTest","uploadUserWithoutSexTest()","Scenario 3: Update user without sex"
"failed","Wed Jul 24 17:01:46 GMT 2024","Wed Jul 24 17:01:46 GMT 2024","56","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithoutNameTest","uploadUserWithoutNameTest()","Scenario 3: Update user without user name"
